osis,official,overall,history,english,math
000000000,7AA,88.3,86.8,90.0,88.0
000000000,7AA,87.7,91.5,80.0,0
000000000,7AA,93.4,95.5,96.0,95.0
000000000,7AA,95.3,96.5,95.0,93.0
000000000,7AA,91.0,93.5,0,85.0
000000000,7AA,94.4,88.0,92.0,97.0
000000000,7AA,89.9,75.0,95.0,91.4
000000000,7AA,98.5,99.0,98.0,99.3
000000000,7AA,94.5,95.3,94.0,0
000000000,7AA,89.0,88.0,92.0,85.0
000000000,7AA,93.0,90.0,92.0,94.7
000000000,7AA,90.7,96.0,80.0,85.0
000000000,7AA,94.6,89.5,93.0,98.0
000000000,7AA,94.0,93.0,92.0,96.0
000000000,7AA,90.7,91.3,91.0,0
000000000,7AA,88.3,92.0,90.0,75.0
000000000,7AA,94.8,96.0,90.0,93.0
000000000,7AA,95.8,92.0,93.0,100.0
000000000,7AA,85.2,80.0,89.0,80.0
000000000,7AA,96.0,97.0,97.0,94.7
000000000,7AA,94.0,95.5,0,92.0
000000000,7AA,94.6,97.0,95.0,94.3
000000000,7AA,91.2,92.5,85.0,96.0
000000000,7AA,92.3,93.4,0,92.0
000000000,7AA,87.3,80.0,90.0,80.0
000000000,7AA,88.8,90.3,85.0,0
000000000,7AA,87.6,93.0,80.0,90.0
000000000,7AA,89.7,92.0,90.0,96.0
000000000,7AA,87.2,85.0,98.0,80.0
000000000,7AA,93.8,93.0,96.0,92.0
000000000,7AA,96.4,99.0,96.0,99.0
000000000,7AA,89.3,88.0,91.0,96.0
000000000,7BB,93.4,91.0,93.0,0
000000000,7BB,84.2,80.0,75.0,0
000000000,7BB,94.2,92.0,97.0,94.0
000000000,7BB,88.7,80.0,85.0,92.0
000000000,7BB,84.7,77.5,87.5,0
000000000,7BB,93.8,92.5,93.0,95.0
000000000,7BB,93.5,95.0,90.0,95.3
000000000,7BB,94.6,95.5,96.0,98.0
000000000,7BB,86.0,91.0,94.0,77.5
000000000,7BB,91.3,88.0,94.0,88.0
